id,target
boostcamp-sts-v1-test-000,3.2
boostcamp-sts-v1-test-001,4.4
boostcamp-sts-v1-test-002,2.8
boostcamp-sts-v1-test-003,-0.0
boostcamp-sts-v1-test-004,4.0
boostcamp-sts-v1-test-005,3.5
boostcamp-sts-v1-test-006,4.4
boostcamp-sts-v1-test-007,1.3
boostcamp-sts-v1-test-008,0.5
boostcamp-sts-v1-test-009,4.5
boostcamp-sts-v1-test-010,3.4
boostcamp-sts-v1-test-011,2.1
boostcamp-sts-v1-test-012,3.4
boostcamp-sts-v1-test-013,2.8
boostcamp-sts-v1-test-014,1.3
boostcamp-sts-v1-test-015,4.5
boostcamp-sts-v1-test-016,4.7
boostcamp-sts-v1-test-017,2.0
boostcamp-sts-v1-test-018,4.7
boostcamp-sts-v1-test-019,4.6
boostcamp-sts-v1-test-020,3.3
boostcamp-sts-v1-test-021,2.6
boostcamp-sts-v1-test-022,1.1
boostcamp-sts-v1-test-023,0.5
boostcamp-sts-v1-test-024,1.3
boostcamp-sts-v1-test-025,3.2
boostcamp-sts-v1-test-026,0.6
boostcamp-sts-v1-test-027,1.1
boostcamp-sts-v1-test-028,3.9
boostcamp-sts-v1-test-029,3.5
boostcamp-sts-v1-test-030,4.3
boostcamp-sts-v1-test-031,0.7
boostcamp-sts-v1-test-032,3.1
boostcamp-sts-v1-test-033,3.9
boostcamp-sts-v1-test-034,3.4
boostcamp-sts-v1-test-035,0.1
boostcamp-sts-v1-test-036,3.8
boostcamp-sts-v1-test-037,0.5
boostcamp-sts-v1-test-038,1.6
boostcamp-sts-v1-test-039,3.8
boostcamp-sts-v1-test-040,0.6
boostcamp-sts-v1-test-041,4.1
boostcamp-sts-v1-test-042,0.2
boostcamp-sts-v1-test-043,1.3
boostcamp-sts-v1-test-044,3.2
boostcamp-sts-v1-test-045,4.6
boostcamp-sts-v1-test-046,2.7
boostcamp-sts-v1-test-047,2.1
boostcamp-sts-v1-test-048,0.2
boostcamp-sts-v1-test-049,3.7
boostcamp-sts-v1-test-050,0.0
boostcamp-sts-v1-test-051,2.0
boostcamp-sts-v1-test-052,3.4
boostcamp-sts-v1-test-053,3.0
boostcamp-sts-v1-test-054,4.4
boostcamp-sts-v1-test-055,1.4
boostcamp-sts-v1-test-056,4.2
